iter	Passed	Remaining
0	15	15504
1	29	14650
2	43	14567
3	53	13250
4	67	13453
5	80	13355
6	93	13271
7	105	13105
8	117	12920
9	131	12972
10	143	12902
11	154	12683
12	165	12588
13	181	12808
14	194	12759
15	206	12716
16	220	12762
17	230	12551
18	241	12489
19	253	12416
20	264	12350
21	279	12409
22	290	12346
23	300	12219
24	311	12143
25	321	12058
26	331	11953
27	345	11998
28	356	11935
29	367	11878
30	377	11813
31	387	11723
32	394	11567
33	403	11450
34	411	11355
35	420	11250
36	428	11160
37	437	11066
38	444	10956
39	454	10900
40	462	10817
41	473	10790
42	480	10701
43	488	10622
44	495	10524
45	504	10454
46	511	10364
47	520	10313
48	528	10256
49	537	10218
50	545	10147
51	554	10110
52	562	10043
53	571	10004
54	579	9962
55	588	9923
56	597	9886
57	616	10010
58	626	9987
59	635	9963
60	643	9904
61	652	9877
62	659	9814
63	669	9790
64	676	9731
65	685	9703
66	692	9643
67	701	9612
68	708	9552
69	715	9512
70	722	9458
71	731	9425
72	738	9374
73	746	9342
74	753	9296
75	761	9260
76	769	9219
77	776	9181
78	783	9140
79	791	9098
80	799	9067
81	807	9036
82	815	9013
83	824	8988
84	834	8982
85	844	8976
86	852	8944
87	860	8915
88	867	8883
89	875	8848
90	882	8819
91	889	8782
92	898	8758
93	904	8720
94	913	8701
95	920	8664
96	928	8643
97	934	8605
98	943	8585
99	950	8552
100	958	8530
101	965	8502
102	974	8483
103	982	8463
104	990	8444
105	997	8416
106	1007	8405
107	1014	8382
108	1024	8378
109	1033	8361
110	1042	8345
111	1049	8318
112	1058	8304
113	1065	8278
114	1074	8268
115	1081	8244
116	1089	8224
117	1097	8202
118	1105	8183
119	1114	8171
120	1123	8162
121	1131	8140
122	1138	8119
123	1146	8102
124	1154	8080
125	1161	8059
126	1169	8040
127	1178	8025
128	1185	8005
129	1193	7989
130	1200	7965
131	1208	7948
132	1216	7928
133	1228	7938
134	1237	7926
135	1244	7907
136	1252	7889
137	1259	7867
138	1267	7848
139	1274	7830
140	1281	7809
